title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
"CAMILLE & COMPANY (HILTON HEAD, SC)",1507 MAIN STREET,,HILTON HEAD,SC,29926,,,,32.214794,-80.722769
JM TAYLOR DBA:BIRDIE JAMES,28 SHELTER COVE LANE,,HILTON HEAD ISLAND,SC,29928,,,,32.184568,-80.721931
PALMETTOES INC.,71 LIGHTHOUSE ROAD SUITE 414,,HILTON HEAD,SC,29928,,,,32.13143,-80.801977
CHURCH STREET COTTAGE,37 CHURCH STREET,,ALPHARETTA,GA,30009,,,,34.077821,-84.295583
HOLLY CRANDFORD,140 FELD AVE.,,DECATUR,GA,30030,,,,33.764531,-84.307145
CASABELLA INC,4400 ROSWELL ROAD SUITE 128A,,MARIETTA,GA,30062,,,,33.984983,-84.422497
DIANE PULLEY,851 CROSSFIRE RIDGE,,MARIETTA,GA,30064,,,,33.974476,-84.606112
"HAWK EYE SALES, INC",939 OTTER WAY,,MARIETTA,GA,30068,,,,33.973697,-84.420017
RITA ELLEN'S BOUTIQUE,1205 JOHNSON FERRY RD. SUITE 116,,MARIETTA,GA,30068,,,,33.977943,-84.418244
"C & W SHOES OF GA, INC.",606 HOLOOMB BRIDGE RD,,ROSWELL,GA,30076,,,,34.027783,-84.320162
SHOE GALLERY WAREHOUSE,606 HOLCOMB BRIDGE ROAD,,ROSWELL,GA,30076,,,,34.038365,-84.341855
TINA DOBBS,401 HOLLY OAKTRACE,,CANTON,GA,30114,,,,34.178206,-84.535102
SWEET PEA'S BTQ,941 MAPLE ST,,CARROLLTON,GA,30117,,,,33.573684,-85.086937
COCOS COTTAGE,30 NORTH MAIN STREET,,JASPER,GA,30143,,,,34.468674,-84.429933
MICHAEL RYAN,4712 TALLEYBROOK DR,,KENNESAW,GA,30152,,,,33.97906,-84.685574
SASSY LADIES,108 W. MONTGOMERY ST,,VILLA RICA,GA,30180,,,,33.730981,-84.919274
BOXWOODS GARDEN & GIFTS,100 EAST ANDREWS DRIVE,,ATLANTA,GA,30305,,,,33.843175,-84.382213
KATHRYNS OF BUCKHEAD,28 EAST ANDREWS DRIVE,,ATLANTA,GA,30305,,,,33.843461,-84.379953
SOLE SHOES & ACCESSARIES,1245 CAROLINA STREET STE# 100,,ATLANTA,GA,30307,,,,33.758227,-84.347856
POTPOURRI OF SANDY SPRINGS,277 SANDY SRPINGS PL. STE 374,,ATLANTA,GA,30328,,,,33.933543,-84.395777
BRENDA BRETTSCHNEIDER,135 HEMMINGWOOD WAY,,ATLANTA,GA,30350,,,,33.971415,-84.335262
COBBLERS BENCH (R J POPE),7 SOUTH MAIN STREET,,STATESBORO,GA,30458,,,,32.448448,-81.783485
"THE MARKET PLACE   (VIDALIA, GA)",120 E. MEADOW STREET,,VIDALIA,GA,30474,,,,32.218018,-82.412103
"L.B. SCHRAGEL, INC. DBA:SAUL'S",100 MAIN ST.,,GAINESVILLE,GA,30501,,,,34.299147,-83.827778
THE BRADFORD PAIR,1021 THOMPSON BRIDGE RD NW,,GAINESVILLE,GA,30501,,,,34.314648,-83.829601
CRAWFORD COLLECTIONS LLC.,500 E MAIN ST. SUITE 204,,BLUERIDGE,GA,30513,,,,34.867993,-84.322488
GRACIOUS ME,705 E MAIN STREET,,BLUERIDGE,GA,30513,,,,34.865493,-84.324081
THREADS OF BLUE RIDGE,314 SUNROCK MTN,,BLUE RIDGE,GA,30513,,,,34.89369,-84.383869
BELLAS ON MAIN,5 EAST JARRARD STREET,,CLEVELAND,GA,30528,,,,34.597708,-83.763
BRITT CAPRI,595 N MAIN ST,,HIAWASSEE,GA,30546,,,,34.956735,-83.760813
COLLAGE BOUTIQUE (WAS ELLER),563 N. MAIN ST.,,HIAWASSEE,GA,30546,,,,34.955995,-83.760284
MOON WATERS,5806 WEST AVE,,LAVONIA,GA,30553,,,,34.436066,-83.106908
IV SEASONS,1737-A SOUTH LUMPKIN,,ATHENS,GA,30606,,,,33.936656,-83.387522
AMELIA'S APPAREL & ACCESS,172 S MAIN ST,,MEDISON,GA,30650,,,,33.595107,-83.468191
ANTIQUES SQUARE DBA BB&G,115 S MAIN STREET,,MADISON,GA,30650,,,,33.596173,-83.467956
SASSI & CO,841 W MORAVIAN BEND,,CHATSWORTH,GA,30705,,,,34.784259,-84.785123
3 CHICKS LLC.,607 BRAE BURN DR.,,AUGUSTA,GA,30907,,,,33.543872,-82.077141
BRITTANYS HOUSE OF ELEGANCE,403 FURYS FERRY RD. STE#114,,AUGUSTA,GA,30907,,,,33.530147,-82.072945
CAMILLE & COMPANY,109 HARMONY CROSSING SUITE 6,,EATONTON,GA,31024,,,,33.42356,-83.268478
"CAMILLE & COMPANY (EATONTON, GA)",109 HARMONY CROSSING SUITE 6,,EATONTON,GA,31024,,,,33.42356,-83.268478
MAGGIE LANE,103 S JEFFERSON AVE,,EATONTON,GA,31024,,,,33.326574,-83.388201
CLOISTER COLLECTION,600 SEA ISLAND RD. SUITE #13,,ST. SIMONS ISLAND,GA,31522,,,,31.183492,-81.380396
BEECHER'S,38 MIDWAY SQUARE,,ST. SIMONS,GA,31522,,,,31.182181,-81.378045
FAD'S N FASHIONS INC.,422-A NORTHSIDE DR.,,VALDOSTA,GA,31602,,,,30.872817,-83.279559
ONLY OPTION,1421 GORONTO RD,,VALDOSTA,GA,31602,,,,30.860184,-83.317856
CHICAS BRIDAL,1922 DAWSON ROAD,,ALBANY,GA,31707,,,,31.597821,-84.19876
ROYAL COLLECTION,2347 LAKE PARK DRIVE,,"ALBANY,",GA,31707,,,,31.603095,-84.208174
KINNEBREW CO,208 WEST LAMAR STREET,,AMERICUS,GA,31709,,,,32.07207,-84.234027
LAZARUS OF MOULTRIE,103 1ST STREET SE,,MOULTRIE,GA,31768,,,,31.178943,-83.787478
TURNERS DRESS SHOP LLC,104 S MAIN STREET,,MOULTRIE,GA,31768,,,,31.17894,-83.78902
DIANNE'S FASHIONS,104 W 4TH ST,,OCILLA,GA,31774,,,,31.59403,-83.251342
THE BIG STORE,346 MAIN STREET,,TIFTON,GA,31794,,,,31.451142,-83.50962
STYLE BY SHARON,1450 CEDAR GROVE TERRACE,,FLEMING ISLAND,FL,32003,,,,30.081054,-81.721811
BELLA COLOR INC. DBA: LORI & LULU,213 CENTRE ST,,FERNANDIA BEACH,FL,32034,,,,30.671438,-81.463267
