title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
ARTWEAR,185 MASSACHUSETTS AVE.,,ARLINGTON,MA,2474,,,,42.405822,-71.141965
THIRTY PETALS,34 LEONARD ST,,BELMONT,MA,2478,,,,42.397144,-71.175899
CHATFIELD TAYLOR,120 CHURCH ST,,WESTON,MA,2493,,,,42.375911,-71.28839
LOLA TORTOLA,205 BOSTON POST RD,,WESTON,MA,2493,,,,42.368233,-71.280254
CAPE CHIC,129 FALMOUTH HEIGHTS RD UNIT 31,,FALMOUTH,MA,2540,,,,41.55,-70.6
TREASURE CHEST GIFTS,233 MAIN ST,,FALMOUTH,MA,2540,,,,41.552166,-70.615684
ANDI CAROLE,20 SEA ST,,HYANNIS,MA,2601,,,,41.648405,-70.290582
LA BODEGA,1075 MAIN ST,,BREWSTER,MA,2631,,,,41.753802,-70.109374
CHATHAM T CO. INC,534 MAIN STREET UNIT 1,,CHATHAM,MA,2633,,,,41.68,-69.96
JEWELRY BOUTIQUE MAIN + CHATHAM INC,468 MAIN STREET,,CHATHAM,MA,2633,,,,41.68,-69.96
BJC CLOTHING CORP. DBA:SUNDANCE CLOTING,497 MAIN ST,,CHATHAM,MA,2633,,,,41.68,-69.96
THE RED BARN,48 MAIN STREET,,ORLEANS,MA,2653,,,,41.787204,-69.990407
WARDROBE,213 COMMERCIAL ST,,PROVINCETOWN,MA,2657,,,,42.049121,-70.188728
GINGIES,23 K WHITE PATH,,S. YARMOUTH,MA,2664,,,,41.67,-70.19
MIRROR BOUTIQUE,32 WHITMAN LANE,,NORTH ATTLEBORO,MA,2760,,,,41.980506,-71.316117
DENIS CLOSET,767 MAIN RD,,WESTPORT,MA,2790,,,,41.581697,-71.089876
DAISY DIGINS,123 MAPLE AVE,,BARRINGTON,RI,2806,,,,41.739537,-71.31256
"KATE & COMPANY INC,",301 HOPE ST.,,BRISTOL,RI,2809,,,,41.667646,-71.275782
GROOVE,479 THOMES ST.,,NEWPORT,RI,2842,,,,0,0
SIMPLE PLEASURES LLC,1401 TOWER HILL ROAD,,N. KINGSTOWN,RI,2852,,,,41.538631,-71.469262
WILSON'S OF WICKFORD,35 BROWN ST,,WICKFORD,RI,2852,,,,41.569625,-71.452421
CHARMED & DANGEROUS,169 DANIELSON PIKE,,NORTH SCITUATE,RI,2857,,,,41.832636,-71.589369
SUN-UP GALLERY,95 WATCH HILL RD,,WESTERLY,RI,2891,,,,41.334437,-71.831637
TAMI ANNS,4 WILSON ST.,,WESTERLY,RI,2891,,,,41.366987,-71.817661
GABRIELLE,467 ANGELL ST,,PROVIDENCE,RI,2906,,,,41.82985,-71.38906
SEVAN ENTERPRISES DBA:SONYA'S,766 OAKLAWN AVE.,,CRANSTON,RI,2920,,,,41.751686,-71.477137
ANYTIME APPAREL,66 MUZEY HILL ROAD,,GREENFIELD,NH,3047,,,,42.94991,-71.809959
FRESH OF NASHUA,178 MAIN ST,,NASHUA,NH,3060,,,,42.760724,-71.46496
ELIZABETH KARL BOUTIQUE,127 ROCKINGHAM ROAD,,WINDHAM,NEW HAMPSHIRE,3087,,,,42.83496,-71.258289
THREADS (HER PEROGATIVE),663 CHERRY VALLEY RD. UNIT 107,,GILFORD,NH,3249,,,,43.554049,-71.36272
LARKS & NIGHTINGALES,207 MAIN ST.,,NEW LONDON,NH,3257,,,,43.4163,-71.987254
GONDWANA & DIVINE CLOTHING,13 N MAIN STREET,,CONCORD,NH,3301,,,,43.204641,-71.53582
MIRANDA'S ON MAIN (KEENE),28 MAIN ST.,,PETERBOROUGH,NH,3458,,,,42.8775,-71.949503
MORGANS WAY,28 MAIN STREET,,PETERBOROUGH,NH,3458,,,,42.876909,-71.949357
OFF BALANCE LLC.,28 MAIN ST.,,PETERBOROUGH,NH,3458,,,,42.876909,-71.949357
BEJA BODY AND SOUL,24 MARKET STREET,,PORTSMOUTH,NH,3801,,,,43.077514,-70.757665
SERENDIPITY OF EXETER,24 WATER STREET,,EXETER,NH,3833,,,,42.980671,-70.945089
ALL SHE WEARS,461 LAFAYETTE ROAD,,HAMPTON,NH,3842,,,,42.91,-70.81
PRIM FASHION BOUTIQUE,87 LAFAYETTE,,HAPTON FALLS,NH,3844,,,,42.915833,-70.86352
CHRISTINE'S CROSSING,1000 WASHINGTON ROAD,,RYE,NH,3870,,,,43.000417,-70.796461
CRAFTWORKS,67 MAIN STREET,,BRIDGTON,ME,4009,,,,44.054586,-70.711337
WYLERS GALLERY,150 MAINE STREET,,BRUNSWICK,ME,4011,,,,43.914244,-69.965237
GREEN TANGERINE,2 COTTAGEWOOD LANE,,KENNEBUNK,ME,4043,,,,43.355964,-70.503644
MOTIFS,221 COMMERCIAL ST.,,PORTLAND,ME,4101,,,,43.655371,-70.254027
CARLA BELLA,469 FORE ST,,PORTLAND,ME,4101,,,,43.655617,-70.25557
CAPE MADRAS,14 LEDGEWOOD LANE,,CAPE ELIZABETH,ME,4107,,,,43.577285,-70.210838
BELLA FIORE,76 SABATTUS STREET,,LEWISTON,ME,4240,,,,44.100283,-70.211193
BOHEMIAN ROSE,106 FRONT ST,,BATH,ME,4530,,,,43.913524,-69.814305
PIZAZZ,360 MAIN STREET,,SOUTHWEST HARBOR,ME,4679,,,,44.279401,-68.326198
EARTH BOUND,109 MAIN ST,,WATERMILLE,ME,4901,,,,44.564853,-69.624389
OODLES,85 NORTH MAIN STREET SUITE 105,,WHITE RIVER JUNCTION,VT,5001,,,,43.649535,-72.320286
SPORTS STYLE,1233 SHELBURN ROAD,,S. BURLINGTON,VT,5043,,,,0,0
FAT HAT CLOTHING CO,1 QUECHEE MAIN STREET,,QUECHEE,VT,5059,,,,43.652639,-72.391279
"PANACHE (BENNINGTON, VT)",530 MAIN STREET,,BENNINGTON,VT,5201,,,,42.878302,-73.193618
MARILYNS,115 COLLEGE STREET,,BURLINGTON,VT,5401,,,,44.47679,-73.215197
DAFFODIL,153 PEARL ST,,ESSEX JUNCTION,VT,5452,,,,44.49788,-73.126711
EVERYWEAR FOR EVERYBODY,233 MAIN ST,,VERGENNES,VT,5491,,,,44.167358,-73.252769
ADDISON FOUR CORNERS STORE,4934 RT 22A,,ADDISON,VT,5491,,,,44.089271,-73.302468
BAILEY ROAD,44 MAIN ST.,,MONTPELIER,VT,5602,,,,44.259443,-72.576156
ADORN,27 STATE ST,,MONTPELIER,VT,5602,,,,44.259516,-72.573958
BLUE MOON,43 CENTER STREET,,BRANDON,VT,5733,,,,43.799566,-73.08872
EFFIEDUDLEY,183 BIRCH LANE,,KILLINGTON,VT,5751,,,,43.646997,-72.791917
SHAPIROS,131 CHURCH STREET,,ORWELL,VT,5760,,,,43.799526,-73.298761
BODYTALK,51 EAST MAIN STREET,,AVON,CT,6001,,,,41.80746,-72.826788
FASHION AFFAIR,5 E. CAMPBELL ST.,,ARLINGTON HEIGHTS,IL,6005,,,,42.082659,-87.982727
HODGEPODGE,926 HOPMEADOW,,SLIMSBURY,CT,6070,,,,41.869507,-72.807538
STACKPOLE MOORE TRYON CO.,242 TURNBULL STREET,,HARTFORD,CT,6103,,,,41.77,-72.68
BK& CO,64 LA SALLE RD,,WEST HARTFORD,CT,6107,,,,41.73,-72.76
TWIGS & PEARLS,114 MAIN ST.,,PUTNAM,CT,6260,,,,41.911026,-71.906174
"COCO'S COTTAGE (WOODSTOCK, CT)",253 ROUTE 171,,S. WOODSTOCK,CT,6281,,,,41.934485,-71.956495
CATHERINE M (STONEWEAR CLOTHING),33 W MAIN ST,,MYSTIC,CT,6355,,,,41.354661,-71.970976
ARDONN,271 MAIN STREET,,NIANTIC,CT,6357,,,,41.322143,-72.200182
NEST MYSTIC,43 COVE SIDE LANE,,STONINGTON,CT,6378,,,,41.349297,-71.91074
TAKEN FOR GRANITE,409 LEETES ISLAND RD.,,BRANFORD,CT,6405,,,,41.262247,-72.744324
ONE NORTH MAIN,1 NORTH MAIN,,ESSEX,CT,6426,,,,41.353586,-72.390733
SWISH,57 WHITFIELD RD,,GUILFORD,CT,6439,,,,0,0
COUNTRY SHOP,684 BOSTON POST RD,,MADISON,CT,6443,,,,41.279078,-72.596521
SDG DBA 2 DI 4,573 NEWFIELD ST,,MIDDLETOWN,CT,6457,,,,41.574593,-72.672383
TRENDZ,100 MAIN ST.,,MIDDLETOWN,CT,6457,,,,41.558122,-72.647368
SOUTHERN EXPOSURE,264 MAIN ST,,OLD SAYBROOK,CT,6475,,,,41.296619,-72.376881
BACKER'S,163 BOSTON POST ROAD,,ORANGE,CT,6477,,,,41.26,-73.01
ODEON,918 WHALLEY AVE,,NEW HAVEN,CT,6515,,,,41.327547,-72.960591
ARLYNS FINE ACCESSORIES,1646 LITCHFIELD TURNPIKE,,WOODBRIDGE,CT,6525,,,,41.339797,-72.97854
RED BARN OF WOODBRIDGE,378 AMITY RD,,WOODBRIDGE,CT,6525,,,,41.354229,-72.990789
"MIX AND MATCH BOX, LLC.",70 RIDGEWOOD DRIVE,,MIDDLEBURY,CT,6762,,,,41.515613,-73.141147
SWANK ON BANK,16 BANK STREET,,NEW MILFORD,CT,6776,,,,41.57764,-73.411389
CARLA NICHOLS BOUTIQUE,813 MAIN ST SOUTH,,WOODBURY,CT,6798,,,,41.522838,-73.201768
ME BOUTIQUE,1215 POST RD.,,FAIRFIELD,CT,6824,,,,41.14326,-73.253969
LA MODA,1434 POST RD,,FAIRFIELD,CT,6824,,,,41.14135,-73.256618
"IT'S ALL ABOUT ME (GREENWICH, CT)",253 MILL ST,,GREENWICH,CT,6830,,,,41.003381,-73.656472
CONNIE B,43 N. MAIN STREET,,S. NORWALK,CT,6854,,,,41.100627,-73.419246
YAVAL INC DBA PASTICHE LTD,250 SOUND BEACH AVE,,OLD GREENWICH,CT,6870,,,,41.030263,-73.567217
